Wavelength,Temperature,TargetControlVoltage,ControlVoltage,ADCVoltage
1850,38.01,26697.00,26675.83,179.66309
1849,37.99,26773.00,26766.60,178.20288
1848,38.01,26848.00,26843.49,181.07300
1847,38.05,26924.00,26917.24,179.41125
1846,38.07,26998.00,26990.36,182.38220
1845,38.02,27071.00,27067.25,181.62695
1844,38.00,27144.00,27137.21,178.35400
1843,38.05,27218.00,27214.11,181.52625
1842,38.00,27290.00,27312.44,179.10925
1841,38.00,27362.00,27349.62,177.09497
1840,38.00,27433.00,27427.78,179.26025
1839,38.03,27505.00,27500.27,180.67017
1838,38.05,27576.00,27568.34,179.26025
1837,38.07,27647.00,27642.09,183.03674
1836,38.07,27717.00,27706.38,179.05884
1835,38.04,27786.00,27774.45,179.81409
1834,38.08,27856.00,27847.56,178.80713
1833,38.05,27924.00,27916.27,181.52625
1832,38.04,27993.00,27984.34,181.77808
1831,38.04,28061.00,28053.04,181.22400
1830,37.98,28128.00,28143.81,181.87866
1829,38.02,28195.00,28186.66,180.67017
1828,38.06,28263.00,28267.97,178.15247
1827,37.99,28329.00,28320.92,182.23108
1826,38.01,28395.00,28402.23,180.72058
1825,38.04,28462.00,28456.43,183.48999
1824,38.01,28526.00,28498.03,181.62695
1823,38.03,28592.00,28585.65,181.12329
1822,37.99,28656.00,28647.42,180.82129
1821,38.01,28721.00,28720.53,181.92908
1820,38.03,28785.00,28794.28,182.63391
1819,38.03,28849.00,28840.92,177.95117
1818,38.01,28912.00,28915.92,182.63391
1817,38.01,28975.00,28980.21,180.41846
1816,38.07,29038.00,29033.16,180.87158
1815,38.04,29101.00,29099.34,181.82837
1814,38.02,29163.00,29156.70,180.06592
1813,38.02,29223.00,29247.46,183.23828
1812,38.01,29285.00,29273.30,180.51904
1811,38.02,29346.00,29343.90,183.64099
1810,38.03,29407.00,29396.84,180.26733
1809,38.05,29468.00,29461.13,178.20276
1808,38.01,29527.00,29517.23,182.53320
1807,38.04,29588.00,29578.37,179.31055
1806,38.02,29646.00,29644.55,182.98657
1805,38.03,29706.00,29701.28,180.67017
1804,38.03,29765.00,29759.90,179.36108
1803,38.06,29824.00,29816.62,180.31763
1802,38.03,29882.00,29886.59,179.46167
1801,38.01,29939.00,29932.60,181.07300
1800,38.04,29997.00,29993.11,184.69849
1799,38.04,30055.00,30051.10,181.52612
1798,38.05,30112.00,30100.89,178.50500
1797,38.02,30167.00,30158.25,181.42554
1796,38.03,30225.00,30216.87,180.87158
1795,38.00,30280.00,30274.22,177.95093
1794,38.02,30336.00,30360.57,181.32483
1793,38.00,30391.00,30387.68,181.97937
1792,38.00,30447.00,30445.66,181.62695
1791,38.06,30502.00,30485.37,180.56934
1790,38.02,30556.00,30547.14,182.43262
1789,38.03,30612.00,30607.02,181.07300
1788,38.02,30666.00,30663.75,180.61987
1787,38.00,30719.00,30718.58,181.12341
1786,38.04,30773.00,30767.12,180.67017
1785,38.00,30826.00,30820.69,178.80713
1784,38.01,30879.00,30877.42,182.98645
1783,38.04,30933.00,30918.39,181.47583
1782,38.04,30985.00,30972.60,180.11633
1781,38.01,31037.00,31036.25,181.62683
1780,38.07,31089.00,31086.68,178.15234
1779,38.07,31141.00,31137.10,185.35315
1778,38.04,31193.00,31191.94,178.35388
1777,38.05,31244.00,31242.37,181.62683
1776,38.03,31295.00,31290.90,181.67725
1775,38.00,31345.00,31338.80,182.38208
1774,38.04,31396.00,31391.12,180.31775
1773,38.03,31446.00,31438.39,178.10205
1772,38.00,31496.00,31496.38,176.94409
1771,38.03,31546.00,31540.50,179.41138
1770,37.99,31595.00,31590.92,179.41125
1769,38.01,31645.00,31639.45,179.86450
1768,38.03,31694.00,31692.40,178.70630
1767,38.02,31743.00,31735.26,181.47583
1766,38.07,31791.00,31783.16,181.57642
1765,38.01,31840.00,31834.85,182.48291
1764,38.00,31888.00,31883.38,178.25317
1763,38.02,31936.00,31935.06,179.20996
1762,38.01,31983.00,31987.38,179.96521
1761,38.03,32031.00,32012.59,181.47583
1760,38.07,32078.00,32065.54,179.31055
1759,38.00,32125.00,32119.74,181.67725
1758,38.03,32171.00,32165.76,181.32471
1757,38.03,32218.00,32207.35,178.35388
1756,38.01,32264.00,32259.04,178.30347
1755,38.05,32310.00,32302.53,179.86450
1754,38.06,32356.00,32368.71,179.71338
1753,38.01,32401.00,32404.64,181.27441
1752,38.01,32447.00,32440.57,177.54822
