Wavelength,Temperature,TargetControlVoltage,ControlVoltage,ADCVoltage
1850,37.97,26697.00,26709.87,677.00964
1849,38.00,26773.00,26761.55,674.99548
1848,38.00,26848.00,26847.91,672.98120
1847,38.00,26923.00,26913.46,674.84448
1846,37.97,26997.00,26989.72,669.55713
1845,37.95,27071.00,27067.25,672.47778
1844,37.99,27144.00,27138.47,670.11108
1843,38.00,27217.00,27214.74,670.11108
1842,37.98,27290.00,27281.55,670.76575
1841,37.97,27362.00,27355.30,670.81616
1840,37.98,27433.00,27426.52,672.57837
1839,38.01,27505.00,27513.50,673.18274
1838,37.95,27575.00,27561.41,670.46350
1837,38.00,27646.00,27637.67,670.91675
1836,37.98,27716.00,27706.38,669.15430
1835,37.97,27786.00,27778.23,672.12524
1834,37.97,27855.00,27843.15,672.93091
1833,38.02,27924.00,27919.42,673.93799
1832,37.94,27992.00,27990.64,668.85229
1831,37.98,28060.00,28048.63,670.51392
1830,38.03,28129.00,28123.63,667.24084
1829,38.00,28195.00,28201.16,669.70825
1828,37.94,28262.00,28255.37,668.04663
1827,38.00,28329.00,28334.79,670.86633
1826,37.99,28395.00,28386.47,672.32666
1825,37.94,28461.00,28451.39,668.04663
1824,37.97,28526.00,28520.09,668.55005
1823,38.01,28591.00,28579.34,670.31250
1822,37.95,28656.00,28653.72,668.70117
1821,37.98,28721.00,28723.68,670.66492
1820,37.98,28785.00,28784.82,669.35583
1819,37.97,28848.00,28843.44,666.88843
1818,38.00,28912.00,28926.64,668.60034
1817,37.92,28974.00,28965.09,666.53589
1816,38.01,29037.00,29029.38,666.38477
1815,37.99,29100.00,29126.44,669.15430
1814,37.95,29162.00,29157.96,669.95996
1813,37.98,29223.00,29212.16,668.80200
1812,37.95,29285.00,29280.87,672.17566
1811,38.00,29346.00,29333.81,664.52173
1810,37.97,29406.00,29403.78,668.55005
1809,37.92,29467.00,29463.65,669.35583
1808,38.02,29527.00,29521.01,666.33459
1807,38.04,29588.00,29580.89,666.53601
1806,37.99,29646.00,29637.62,667.24084
1805,38.02,29705.00,29723.97,671.47070
1804,38.02,29764.00,29771.24,664.87427
1803,37.95,29823.00,29809.69,669.60742
1802,38.03,29882.00,29873.98,668.19751
1801,37.98,29939.00,29928.19,669.15442
1800,38.02,29997.00,29986.17,669.60742
1799,37.99,30054.00,30048.57,668.34863
1798,37.98,30111.00,30121.69,666.43518
1797,38.01,30167.00,30152.57,668.60034
1796,37.95,30224.00,30221.28,662.35645
1795,38.00,30280.00,30276.74,665.02527
1794,38.02,30336.00,30334.73,665.67993
1793,37.95,30391.00,30386.42,667.94592
1792,37.95,30447.00,30441.25,668.24792
1791,37.98,30501.00,30492.94,669.25500
1790,37.97,30556.00,30552.18,667.19055
1789,37.95,30611.00,30615.85,661.95374
1788,37.96,30665.00,30661.86,667.49268
1787,37.97,30719.00,30716.06,667.59338
1786,37.96,30772.00,30765.86,665.47852
1785,37.99,30826.00,30823.85,663.36365
1784,37.97,30879.00,30868.60,666.83813
1783,38.01,30932.00,30924.69,666.53601
1782,37.99,30984.00,30982.68,665.98193
1781,38.00,31037.00,31031.84,665.98206
1780,38.05,31089.00,31078.49,665.22668
1779,37.97,31140.00,31139.62,663.76660
1778,37.98,31192.00,31189.42,666.53601
1777,37.98,31243.00,31234.17,665.98193
1776,37.98,31294.00,31286.48,665.57935
1775,38.01,31345.00,31346.36,662.80969
1774,38.02,31396.00,31393.01,665.27710
1773,37.97,31445.00,31435.87,665.42810
1772,37.99,31496.00,31497.63,661.75220
1771,37.95,31545.00,31546.17,662.75940
1770,38.00,31596.00,31595.33,664.92456
1769,38.01,31645.00,31642.61,664.32031
1768,38.00,31694.00,31691.14,664.11890
1767,37.96,31742.00,31738.41,664.42114
1766,38.00,31791.00,31783.16,663.96802
1765,38.00,31840.00,31845.56,665.27710
1764,37.97,31887.00,31885.90,664.16943
1763,37.97,31935.00,31935.06,663.41406
1762,38.02,31983.00,31986.12,662.96094
1761,38.02,32031.00,32028.98,667.08984
1760,37.98,32077.00,32071.21,665.47852
1759,37.95,32124.00,32115.96,668.09692
1758,37.98,32171.00,32165.76,665.22681
1757,37.99,32217.00,32207.98,671.92383
1756,37.96,32263.00,32262.82,667.39185
