Wavelength,Temperature,TargetControlVoltage,ControlVoltage,ADCVoltage
1850,37.80,26695.00,26702.31,178.80701
1849,37.80,26771.00,26757.77,179.56250
1848,37.79,26846.00,26840.97,181.07300
1847,37.81,26921.00,26913.46,179.36096
1846,37.77,26995.00,26985.94,180.51904
1845,37.85,27070.00,27064.10,179.00842
1844,37.80,27142.00,27136.58,180.01562
1843,37.78,27215.00,27192.05,179.51196
1842,37.81,27288.00,27282.19,180.72058
1841,37.79,27360.00,27351.52,180.97217
1840,37.84,27432.00,27429.04,181.22400
1839,37.85,27504.00,27499.64,181.82825
1838,37.79,27573.00,27569.60,178.85742
1837,37.81,27644.00,27636.41,179.86450
1836,37.79,27714.00,27725.92,176.39001
1835,37.85,27785.00,27778.86,176.84326
1834,37.83,27854.00,27845.04,179.56238
1833,37.84,27923.00,27921.31,179.56250
1832,37.85,27991.00,27982.45,180.16663
1831,37.82,28059.00,28053.67,181.37524
1830,37.85,28127.00,28118.59,180.61975
1829,37.84,28194.00,28190.45,179.71338
1828,37.81,28260.00,28250.33,181.97937
1827,37.77,28327.00,28323.44,185.25232
1826,37.79,28393.00,28400.97,180.72058
1825,37.77,28459.00,28450.13,179.46167
1824,37.80,28524.00,28521.36,179.71350
1823,37.86,28590.00,28585.65,180.87158
1822,37.80,28654.00,28646.15,180.97241
1821,37.83,28719.00,28740.70,181.77783
1820,37.86,28784.00,28796.80,176.79285
1819,37.81,28846.00,28833.98,181.82837
1818,37.80,28910.00,28898.91,182.38208
1817,37.83,28973.00,28965.72,181.07300
1816,37.82,29036.00,29044.51,180.56934
1815,37.81,29098.00,29094.93,178.30347
1814,37.77,29160.00,29156.07,180.46875
1813,37.83,29222.00,29242.42,182.28149
1812,37.84,29284.00,29268.89,176.49072
1811,37.77,29344.00,29333.81,179.71350
1810,37.79,29404.00,29398.73,180.36804
1809,37.78,29465.00,29457.98,181.47583
1808,37.79,29525.00,29514.71,178.90784
1807,37.89,29586.00,29578.37,179.91479
1806,37.82,29645.00,29647.07,179.31067
1805,37.83,29704.00,29694.98,180.77087
1804,37.83,29763.00,29752.33,180.92188
1803,37.79,29821.00,29814.10,180.21692
1802,37.83,29880.00,29875.87,180.72058
1801,37.80,29937.00,29928.19,181.57654
1800,37.85,29995.00,29988.70,178.20288
1799,37.79,30052.00,30046.68,182.73474
1798,37.80,30109.00,30101.52,180.36804
1797,37.83,30166.00,30170.85,179.15942
1796,37.78,30222.00,30213.08,181.37524
1795,37.82,30279.00,30275.48,181.77808
1794,37.81,30334.00,30317.71,179.56226
1793,37.83,30390.00,30383.89,180.36792
1792,37.80,30445.00,30433.69,177.85034
1791,37.83,30500.00,30495.46,178.90784
1790,37.84,30555.00,30549.03,178.60571
1789,37.79,30609.00,30605.76,176.99438
1788,37.80,30663.00,30656.81,180.87158
1787,37.80,30717.00,30709.13,178.15247
1786,37.82,30771.00,30765.86,179.91492
1785,37.83,30825.00,30818.17,177.34680
1784,37.81,30877.00,30874.27,178.65601
1783,37.84,30931.00,30927.21,178.35376
1782,37.80,30983.00,31005.37,178.65601
1781,37.78,31034.00,31033.73,177.90063
1780,37.84,31087.00,31080.38,179.71350
1779,37.79,31139.00,31133.95,174.72852
1778,37.78,31190.00,31171.14,176.84326
1777,37.81,31242.00,31236.69,175.78589
1776,37.87,31293.00,31284.59,180.82117
1775,37.80,31343.00,31336.28,179.05884
1774,37.79,31394.00,31388.59,181.37524
1773,37.87,31444.00,31444.69,178.50488
1772,37.82,31494.00,31481.25,179.71350
1771,37.84,31544.00,31539.23,177.09497
1770,37.82,31594.00,31590.92,181.72766
1769,37.80,31643.00,31638.19,179.56238
1768,37.85,31692.00,31691.14,181.22400
1767,37.82,31741.00,31739.04,179.96509
1766,37.87,31789.00,31780.64,179.76379
1765,37.80,31838.00,31832.32,178.65601
1764,37.77,31885.00,31878.34,179.36108
1763,37.84,31934.00,31932.54,177.64893
1762,37.84,31981.00,31985.49,179.00842
1761,37.85,32029.00,32020.15,178.75671
1760,37.85,32076.00,32074.99,178.75659
1759,37.81,32123.00,32115.33,178.75671
1758,37.80,32169.00,32164.49,179.96509
1757,37.81,32216.00,32213.66,179.26025
1756,37.85,32262.00,32252.74,182.13049
1755,37.85,32308.00,32305.05,177.85034
1754,37.78,32353.00,32349.80,180.51904
1753,37.87,32400.00,32388.25,180.26733
1752,37.86,32445.00,32439.94,180.01562
1751,37.83,32490.00,32495.40,177.34692
1750,37.79,32535.00,32530.70,177.79993
1749,37.83,32580.00,32578.60,181.57642
1748,37.83,32624.00,32629.02,179.15967
1747,37.80,32668.00,32661.17,177.19580
1746,37.78,32712.00,32711.59,178.40430
1745,37.84,32756.00,32746.89,181.67725
1744,37.83,32800.00,32791.64,182.02966
1743,37.83,32843.00,32837.02,180.67017
1742,37.78,32887.00,32862.24,179.61267
1741,37.82,32930.00,32922.75,177.04468
1740,37.84,32972.00,32973.80,180.41833
1739,37.81,33015.00,33008.47,177.90063
1738,37.84,33058.00,33048.80,179.91479
1737,37.81,33100.00,33098.60,179.46167
1736,37.80,33142.00,33137.68,180.41846
1735,37.82,33184.00,33175.50,177.64893
1734,37.85,33225.00,33218.98,182.18079
1733,37.82,33267.00,33263.11,181.32483
1732,37.79,33308.00,33307.23,180.51917
1731,37.78,33349.00,33344.42,179.36096
1730,37.85,33390.00,33392.32,177.59863
1729,37.81,33430.00,33442.74,178.90784
1728,37.84,33471.00,33471.73,181.62695
1727,37.80,33511.00,33493.17,177.74951
1726,37.80,33551.00,33547.37,178.50488
1725,37.79,33591.00,33586.45,182.33191
1724,37.87,33632.00,33628.68,181.67725
1723,37.82,33670.00,33665.87,176.49084
1722,37.85,33710.00,33711.88,181.92896
1721,37.83,33749.00,33744.66,180.61987
1720,37.86,33789.00,33785.63,178.80701
1719,37.81,33827.00,33834.16,180.51904
1718,37.77,33865.00,33863.16,181.52625
1717,37.82,33904.00,33900.97,178.25317
1716,37.79,33942.00,33936.27,179.00854
1715,37.82,33980.00,33975.35,178.65601
1714,37.84,34019.00,34025.14,177.85034
1713,37.83,34056.00,34049.72,177.14551
1712,37.76,34093.00,34090.70,179.51196
1711,37.80,34130.00,34123.47,178.45459
1710,37.87,34168.00,34164.44,180.21704
1709,37.85,34205.00,34206.67,176.84326
1708,37.80,34241.00,34238.82,178.90771
1707,37.83,34279.00,34271.59,178.40417
1706,37.85,34315.00,34323.90,178.80713
1705,37.83,34351.00,34351.01,179.91479
1704,37.86,34388.00,34388.82,180.67017
1703,37.82,34423.00,34403.32,176.74255
1702,37.81,34459.00,34453.12,179.10925
1701,37.85,34495.00,34489.68,180.36804
1700,37.83,34531.00,34529.38,179.86450
1699,37.80,34566.00,34567.20,179.76379
1698,37.84,34601.00,34605.02,183.84253
1697,37.83,34636.00,34640.95,181.02271
1696,37.80,34671.00,34670.57,181.42554
1695,37.85,34706.00,34702.08,181.02271
1694,37.85,34740.00,34741.80,179.00842
1693,37.83,34775.00,34772.05,183.79199
1692,37.84,34809.00,34803.56,179.15955
1691,37.83,34843.00,34838.23,178.40417
1690,37.81,34877.00,34876.68,183.74182
1689,37.82,34910.00,34915.75,180.46875
1688,37.84,34944.00,34930.25,184.49707
1687,37.81,34977.00,34979.42,179.61267
1686,37.79,35009.00,35008.41,176.39014
