Wavelength,Temperature,TargetControlVoltage,ControlVoltage,ADCVoltage
1850,38.08,26698.00,26699.79,180.61975
1849,38.10,26774.00,26765.97,181.37512
1848,38.12,26849.00,26830.26,178.50488
1847,38.11,26924.00,26919.13,179.31055
1846,38.12,26998.00,26984.68,184.39636
1845,38.10,27072.00,27071.03,180.21704
1844,38.08,27145.00,27138.47,178.55518
1843,38.07,27218.00,27210.96,180.72046
1842,38.10,27291.00,27284.07,180.01562
1841,38.12,27363.00,27377.99,178.20288
1840,38.06,27434.00,27428.41,179.86450
1839,38.10,27506.00,27497.12,177.14526
1838,38.10,27576.00,27571.49,180.06592
1837,38.12,27647.00,27640.20,178.30347
1836,38.12,27717.00,27715.20,180.36816
1835,38.09,27787.00,27790.21,176.74243
1834,38.13,27857.00,27850.72,178.40430
1833,38.10,27925.00,27912.48,177.85034
1832,38.09,27993.00,27983.08,179.20996
1831,38.13,28062.00,28055.56,178.90771
1830,38.10,28129.00,28123.01,177.39722
1829,38.14,28197.00,28190.45,175.93689
1828,38.09,28263.00,28262.93,178.50488
1827,38.11,28330.00,28321.55,177.95105
1826,38.11,28396.00,28388.99,178.85742
1825,38.12,28462.00,28455.80,179.51196
1824,38.07,28527.00,28526.40,178.20276
1823,38.12,28592.00,28586.28,179.20996
1822,38.07,28657.00,28653.72,176.28931
1821,38.07,28722.00,28718.01,179.26025
1820,38.05,28785.00,28779.15,182.13037
1819,38.13,28850.00,28843.44,177.80005
1818,38.08,28913.00,28914.66,175.98718
1817,38.14,28976.00,28971.39,179.86450
1816,38.10,29038.00,29031.90,180.87158
1815,38.14,29102.00,29092.41,180.92188
1814,38.08,29163.00,29156.70,178.30359
1813,38.07,29224.00,29216.58,179.76379
1812,38.10,29286.00,29281.50,181.37512
1811,38.10,29347.00,29342.64,178.10217
1810,38.13,29408.00,29408.19,180.01562
1809,38.11,29468.00,29464.29,182.18079
1808,38.11,29528.00,29551.27,178.50500
1807,38.10,29588.00,29579.63,179.05884
1806,38.07,29647.00,29634.47,180.26733
1805,38.06,29706.00,29700.02,181.72766
1804,38.12,29765.00,29764.94,180.31763
1803,38.10,29824.00,29811.58,181.42554
1802,38.08,29882.00,29875.87,180.97229
1801,38.11,29940.00,29938.27,179.26025
1800,38.09,29997.00,30018.32,180.56946
1799,38.07,30055.00,30052.36,176.03760
1798,38.14,30113.00,30108.45,177.64893
1797,38.12,30168.00,30165.81,179.51208
1796,38.05,30225.00,30220.65,179.91479
1795,38.13,30282.00,30275.48,182.38220
1794,38.12,30337.00,30332.84,181.97937
1793,38.11,30392.00,30385.79,183.08716
1792,38.08,30448.00,30438.73,179.76379
1791,38.13,30503.00,30494.20,179.26025
1790,38.12,30557.00,30554.71,178.75659
1789,38.08,30612.00,30603.24,179.05884
1788,38.14,30667.00,30656.18,178.55518
1787,38.12,30720.00,30708.50,179.96521
1786,38.08,30773.00,30768.38,178.65601
