Wavelength,Temperature,TargetControlVoltage,ControlVoltage,ADCVoltage
1850,38.05,26698.00,26700.42,603.39209
1849,38.07,26774.00,26771.64,607.26929
1848,38.04,26849.00,26855.47,605.55725
1847,38.07,26924.00,26927.32,605.20471
1846,38.09,26998.00,26980.27,605.60767
1845,38.07,27072.00,27067.25,605.65796
1844,38.09,27145.00,27146.04,603.89563
1843,38.08,27218.00,27206.55,605.00330
1842,38.07,27291.00,27284.71,601.17639
1841,38.09,27363.00,27357.19,603.74451
1840,38.11,27434.00,27427.78,602.28430
1839,38.04,27505.00,27494.60,603.19067
1838,38.09,27576.00,27570.86,603.34167
1837,38.01,27646.00,27631.37,600.11902
1836,38.05,27717.00,27717.09,600.27014
1835,38.03,27786.00,27786.42,599.31323
1834,38.01,27855.00,27850.08,602.83813
1833,38.03,27924.00,27913.75,599.56506
1832,38.05,27993.00,27983.08,600.21973
1831,38.07,28061.00,28058.08,602.58643
1830,38.10,28129.00,28123.63,602.23389
1829,38.06,28196.00,28193.60,600.42114
1828,38.07,28263.00,28259.78,601.52905
1827,38.10,28330.00,28323.44,602.83813
1826,38.06,28396.00,28391.51,599.61548
1825,38.04,28462.00,28477.23,602.18347
1824,38.04,28527.00,28505.60,604.80200
1823,38.05,28592.00,28585.65,602.13306
1822,38.02,28656.00,28650.57,601.73035
1821,38.10,28722.00,28723.68,603.14026
1820,38.02,28785.00,28787.34,602.28430
1819,38.10,28849.00,28842.81,602.33459
1818,38.04,28912.00,28907.73,597.95374
1817,38.05,28975.00,28965.72,598.55798
1816,38.05,29038.00,29021.81,603.59351
1815,38.04,29101.00,29101.86,599.41406
1814,38.02,29162.00,29157.96,607.01746
1813,38.05,29224.00,29217.21,599.21265
1812,38.07,29286.00,29276.46,600.06860
1811,38.02,29347.00,29342.01,602.13318
1810,38.05,29407.00,29401.89,602.23389
1809,38.07,29468.00,29456.09,597.19849
1808,38.03,29528.00,29545.59,600.67285
1807,38.02,29587.00,29584.04,599.71619
1806,38.07,29647.00,29640.77,599.36365
1805,38.05,29706.00,29701.91,601.93176
1804,38.03,29765.00,29756.11,598.60840
1803,38.04,29824.00,29815.36,597.85315
1802,38.06,29882.00,29875.87,599.81689
1801,38.03,29940.00,29945.21,600.27014
1800,38.04,29997.00,29989.96,598.96082
1799,38.04,30055.00,30052.36,597.60132
1798,38.09,30112.00,30103.41,596.69495
1797,38.03,30168.00,30161.40,600.77368
1796,38.08,30225.00,30229.47,598.45740
1795,38.04,30281.00,30276.74,598.15527
1794,38.08,30337.00,30334.73,600.01831
1793,38.04,30392.00,30387.68,600.47144
1792,38.02,30447.00,30439.99,600.32031
1791,38.05,30502.00,30495.46,598.91040
1790,38.03,30557.00,30549.03,599.31348
1789,38.02,30612.00,30605.13,600.82397
1788,38.06,30666.00,30699.67,599.91760
1787,38.04,30720.00,30713.54,603.19055
1786,38.06,30773.00,30763.97,602.68701
1785,38.08,30827.00,30819.43,604.55029
1784,38.04,30880.00,30874.27,601.02539
1783,38.04,30933.00,30927.21,603.08997
1782,38.06,30985.00,30983.31,600.52185
1781,38.05,31037.00,31030.58,598.35657
1780,38.10,31090.00,31082.90,598.15527
1779,38.02,31141.00,31131.43,598.30640
1778,38.08,31193.00,31185.01,597.75244
1777,38.06,31244.00,31253.71,599.11194
1776,38.08,31295.00,31286.48,598.35669
1775,38.02,31346.00,31340.06,600.16943
1774,38.07,31396.00,31386.70,595.88928
1773,38.06,31446.00,31440.28,597.34961
1772,38.04,31496.00,31494.48,600.52197
1771,38.07,31546.00,31538.61,596.44324
1770,38.08,31596.00,31592.18,596.04028
1769,38.10,31646.00,31636.93,596.79565
1768,38.06,31694.00,31692.40,597.85315
1767,38.12,31744.00,31734.63,597.34961
1766,38.07,31791.00,31784.42,595.33545
1765,38.06,31840.00,31843.04,599.91748
1764,38.06,31888.00,31878.97,596.14111
1763,38.04,31936.00,31926.24,595.08362
1762,38.05,31983.00,31975.40,596.34253
1761,38.08,32031.00,32028.35,599.01123
1760,38.03,32078.00,32066.17,598.70911
1759,38.03,32125.00,32123.53,596.54382
1758,38.08,32172.00,32164.49,594.27783
1757,38.10,32219.00,32220.59,597.29919
1756,38.06,32264.00,32264.08,596.44312
1755,38.07,32310.00,32320.18,599.76648
1754,38.05,32356.00,32352.96,597.60132
1753,38.03,32401.00,32397.71,599.16235
1752,38.10,32448.00,32441.20,597.60132
1751,38.08,32492.00,32484.69,601.37781
1750,38.05,32537.00,32530.70,597.55103
1749,38.10,32583.00,32576.08,599.66577
1748,38.05,32626.00,32625.24,598.65881
1747,38.05,32670.00,32658.02,598.75940
1746,38.06,32714.00,32710.96,598.10486
1745,38.04,32758.00,32758.24,602.03247
1744,38.06,32803.00,32804.88,598.55811
1743,38.04,32845.00,32838.29,599.21265
1742,38.05,32889.00,32887.45,599.86719
1741,38.09,32933.00,32927.79,600.72327
1740,38.06,32974.00,32968.76,600.67285
1739,38.00,33017.00,33009.73,597.24890
1738,38.06,33061.00,33053.22,597.19849
1737,38.07,33103.00,33087.25,600.37085
1736,38.07,33145.00,33142.09,598.86023
1735,38.03,33186.00,33185.58,599.66577
1734,38.03,33227.00,33227.18,599.91748
1733,38.08,33270.00,33268.78,599.66589
1732,38.06,33311.00,33305.34,600.32043
1731,38.02,33351.00,33343.79,601.73047
1730,38.08,33393.00,33382.86,601.78076
1729,38.09,33433.00,33432.66,599.06165
