Wavelength,Temperature,TargetControlVoltage,ControlVoltage,ADCVoltage
1850,37.83,26696.00,26701.68,779.68140
1849,37.82,26772.00,26766.60,780.94019
1848,37.79,26846.00,26854.21,780.33606
1847,37.87,26922.00,26916.61,774.54529
1846,37.84,26996.00,26983.42,780.88989
1845,37.85,27070.00,27065.36,779.12756
1844,37.81,27142.00,27133.43,780.18481
1843,37.88,27216.00,27210.33,781.69556
1842,37.85,27289.00,27286.60,781.84668
1841,37.85,27361.00,27352.15,778.01978
1840,37.85,27432.00,27428.41,780.23523
1839,37.83,27503.00,27502.16,778.42249
1838,37.88,27574.00,27562.04,777.86865
1837,37.82,27645.00,27630.11,779.07715
1836,37.83,27715.00,27747.98,780.68848
1835,37.84,27784.00,27772.56,777.01270
1834,37.85,27854.00,27855.13,777.41541
1833,37.84,27922.00,27923.20,780.13452
1832,37.81,27990.00,27983.08,776.05591
1831,37.82,28059.00,28046.74,775.55249
1830,37.85,28127.00,28123.01,780.03394
1829,37.82,28194.00,28187.30,776.66016
1828,37.78,28260.00,28263.56,778.47290
1827,37.82,28327.00,28317.77,778.67432
1826,37.82,28394.00,28384.58,776.76086
1825,37.83,28460.00,28445.09,777.86865
1824,37.85,28525.00,28525.14,776.71045
1823,37.87,28590.00,28587.54,776.76086
1822,37.82,28655.00,28651.83,777.71753
1821,37.87,28720.00,28714.86,780.08423
1820,37.88,28784.00,28778.52,777.71753
1819,37.82,28847.00,28840.92,777.26440
1818,37.78,28910.00,28906.47,776.60986
1817,37.87,28974.00,28968.24,778.82532
1816,37.86,29036.00,29036.31,776.50903
1815,37.84,29099.00,29097.45,779.42969
1814,37.82,29161.00,29151.03,777.16370
1813,37.84,29222.00,29214.69,778.62402
1812,37.84,29284.00,29280.87,780.94019
1811,37.88,29345.00,29342.01,776.66016
1810,37.85,29405.00,29401.89,777.36511
1809,37.87,29466.00,29462.39,779.42957
1808,37.89,29526.00,29520.38,782.55164
1807,37.85,29586.00,29577.74,775.80420
1806,37.82,29645.00,29638.25,777.06299
1805,37.88,29704.00,29686.78,776.05591
1804,37.87,29763.00,29756.11,777.71753
1803,37.85,29822.00,29818.51,778.57349
1802,37.80,29879.00,29863.27,778.67432
1801,37.88,29938.00,29960.96,776.40845
1800,37.83,29995.00,29988.06,775.55237
1799,37.84,30053.00,30048.57,775.60278
1798,37.87,30110.00,30107.82,776.05591
1797,37.86,30166.00,30161.40,777.41541
1796,37.84,30223.00,30218.12,775.75378
1795,37.87,30279.00,30274.22,774.64600
1794,37.86,30335.00,30322.75,774.69629
1793,37.83,30390.00,30382.00,777.76807
1792,37.88,30446.00,30434.32,777.76782
1791,37.80,30500.00,30499.24,779.02686
1790,37.87,30555.00,30549.03,776.25732
1789,37.87,30610.00,30613.32,779.68140
1788,37.85,30664.00,30668.16,777.61682
1787,37.88,30718.00,30716.69,774.64600
1786,37.81,30771.00,30764.60,774.84741
1785,37.83,30825.00,30821.95,776.45874
1784,37.89,30878.00,30877.42,776.55957
1783,37.84,30931.00,30931.00,775.60278
1782,37.80,30983.00,30982.68,780.03394
1781,37.85,31035.00,31036.89,775.09912
1780,37.82,31087.00,31115.67,777.06299
1779,37.88,31139.00,31138.99,778.17090
1778,37.81,31190.00,31189.42,775.45166
1777,37.85,31242.00,31247.41,773.48792
1776,37.83,31293.00,31292.79,774.14258
1775,37.87,31344.00,31344.47,776.30762
1774,37.80,31394.00,31387.33,775.04883
1773,37.85,31444.00,31440.91,772.27942
1772,37.84,31494.00,31488.81,773.84033
1771,37.83,31544.00,31542.39,772.32983
1770,37.85,31594.00,31573.90,773.63892
1769,37.89,31644.00,31637.56,775.35095
1768,37.81,31692.00,31693.66,771.87646
1767,37.87,31741.00,31734.00,775.14966
1766,37.82,31789.00,31782.53,775.09924
1765,37.83,31838.00,31836.74,771.12109
1764,37.85,31886.00,31880.23,772.22900
1763,37.83,31934.00,31935.06,770.81909
1762,37.84,31981.00,31977.93,771.57446
1761,37.87,32029.00,32027.09,771.02051
1760,37.83,32076.00,32071.21,769.66089
1759,37.82,32123.00,32114.70,773.99146
1758,37.88,32170.00,32165.76,771.32251
1757,37.88,32216.00,32207.98,773.99133
1756,37.82,32262.00,32259.04,776.05591
1755,37.87,32308.00,32305.68,772.93396
1754,37.87,32354.00,32351.06,771.87659
1753,37.80,32399.00,32391.40,774.49500
1752,37.83,32445.00,32434.89,769.91272
1751,37.79,32490.00,32485.32,772.17859
1750,37.85,32535.00,32528.81,773.33679
1749,37.91,32581.00,32579.86,769.96301
1748,37.81,32624.00,32617.05,771.42334
1747,37.82,32668.00,32670.00,772.73254
1746,37.87,32713.00,32715.38,772.98425
1745,37.88,32757.00,32756.98,775.35083
1744,37.80,32800.00,32801.10,774.69629
1743,37.84,32843.00,32859.72,774.74670
1742,37.84,32887.00,32888.08,772.22900
1741,37.85,32930.00,32923.38,774.79712
1740,37.87,32973.00,32968.12,769.00635
1739,37.88,33016.00,33004.05,773.38708
1738,37.80,33058.00,33045.66,772.17859
1737,37.86,33100.00,33121.92,776.81116
1736,37.87,33143.00,33157.22,772.02759
1735,37.81,33184.00,33179.91,775.25024
1734,37.84,33225.00,33218.98,773.48792
1733,37.79,33267.00,33259.96,775.55237
1732,37.85,33308.00,33304.08,774.44458
1731,37.88,33350.00,33345.68,774.59570
1730,37.86,33390.00,33384.12,772.48083
1729,37.90,33431.00,33428.25,774.09216
1728,37.83,33471.00,33459.13,772.63184
1727,37.81,33511.00,33505.77,776.15649
1726,37.86,33552.00,33557.46,775.04883
1725,37.87,33592.00,33589.61,776.05591
1724,37.84,33631.00,33629.31,774.09216
1723,37.84,33671.00,33668.39,775.35095
1722,37.82,33710.00,33687.30,775.50195
1721,37.88,33750.00,33751.59,779.68140
1720,37.85,33789.00,33777.43,779.17786
1719,37.85,33827.00,33815.25,778.57349
1718,37.87,33866.00,33860.64,779.88281
1717,37.86,33905.00,33912.95,777.61682
1716,37.87,33943.00,33927.45,780.08423
1715,37.83,33980.00,33982.28,778.17078
1714,37.82,34018.00,34014.43,779.83252
1713,37.86,34056.00,34056.66,779.02686
1712,37.88,34094.00,34090.70,784.66638
1711,37.85,34131.00,34122.21,782.60181
1710,37.83,34168.00,34163.81,780.78918
1709,37.83,34205.00,34201.62,780.48706
1708,37.87,34242.00,34236.92,780.63818
1707,37.87,34279.00,34274.74,781.09131
1706,37.84,34315.00,34319.49,780.73877
1705,37.85,34352.00,34345.96,782.24951
1704,37.81,34387.00,34388.20,786.22742
1703,37.86,34424.00,34424.12,783.00488
1702,37.87,34460.00,34443.03,787.63733
1701,37.87,34495.00,34480.85,786.98279
1700,37.82,34530.00,34526.86,787.23450
1699,37.82,34566.00,34559.00,783.65930
1698,37.88,34601.00,34599.35,786.73096
1697,37.83,34636.00,34640.32,786.73096
1696,37.80,34671.00,34672.46,791.11169
1695,37.84,34706.00,34704.61,786.52954
1694,37.86,34740.00,34737.38,785.11963
1693,37.88,34775.00,34800.41,789.24866
1692,37.85,34809.00,34808.61,786.57996
1691,37.83,34843.00,34836.97,785.92529
1690,37.88,34877.00,34873.53,789.45007
1689,37.87,34910.00,34904.41,789.65161
1688,37.82,34944.00,34942.23,787.83887
1687,37.89,34977.00,34981.94,787.03320
1686,37.85,35010.00,35007.15,787.73804
1685,37.87,35043.00,35043.08,789.19836
1684,37.88,35077.00,35072.70,788.39270
1683,37.91,35110.00,35106.11,791.86694
