Wavelength,Temperature,TargetControlVoltage,ControlVoltage,ADCVoltage
1682,37.80,35142.00,35140.78,791.36353
1681,37.83,35174.00,35170.40,791.56494
1680,37.87,35207.00,35200.02,788.69470
1679,37.83,35239.00,35237.21,792.01819
1678,37.81,35271.00,35268.09,788.59412
1677,37.85,35302.00,35309.69,789.39978
1676,37.87,35334.00,35326.08,790.10474
1675,37.85,35366.00,35361.38,789.90332
1674,37.79,35397.00,35396.68,791.36353
1673,37.80,35428.00,35430.08,790.91028
1672,37.80,35459.00,35459.08,793.93164
1671,37.85,35490.00,35501.30,787.73804
1670,37.82,35521.00,35510.13,794.28418
1669,37.87,35553.00,35552.99,790.91028
1668,37.89,35583.00,35579.46,796.85205
1667,37.84,35613.00,35614.13,794.13293
1666,37.81,35643.00,35636.82,789.60120
1665,37.83,35673.00,35689.14,788.09058
1664,37.87,35703.00,35716.87,791.06140
1663,37.87,35733.00,35730.73,796.80176
1662,37.82,35763.00,35759.73,792.62244
1661,37.87,35792.00,35778.64,791.86707
1660,37.80,35821.00,35815.83,795.89539
1659,37.85,35851.00,35846.08,794.83801
1658,37.90,35881.00,35875.71,793.37769
1657,37.85,35909.00,35904.07,790.45715
1656,37.83,35938.00,35932.43,791.96777
1655,37.85,35967.00,35966.47,789.65149
1654,37.88,35996.00,35991.68,796.75134
1653,37.86,36024.00,36015.00,791.41394
1652,37.85,36052.00,36047.78,795.19043
1651,37.85,36080.00,36093.79,792.77344
1650,37.87,36109.00,36105.14,791.71594
1649,37.85,36136.00,36133.50,796.39893
1648,37.86,36164.00,36158.08,791.66553
1647,37.85,36192.00,36182.03,793.02527
1646,37.84,36218.00,36211.65,793.42810
1645,37.84,36246.00,36243.80,792.92456
1644,37.86,36274.00,36272.80,795.14001
1643,37.82,36300.00,36284.77,789.60120
1642,37.81,36327.00,36321.32,792.11877
1641,37.87,36355.00,36351.58,789.70178
1640,37.88,36382.00,36386.25,789.70178
1639,37.85,36408.00,36412.09,794.58618
1638,37.88,36435.00,36436.04,792.87427
1637,37.84,36460.00,36468.82,792.92456
1636,37.87,36487.00,36485.20,792.62231
1635,37.85,36513.00,36510.42,791.31311
1634,37.81,36538.00,36564.00,794.23376
1633,37.86,36565.00,36545.08,792.87402
1632,37.86,36591.00,36574.71,796.80176
1631,37.82,36615.00,36610.63,793.57910
1630,37.83,36641.00,36640.89,796.34851
1629,37.86,36667.00,36660.43,794.58618
1628,37.86,36692.00,36690.05,791.81677
1627,37.85,36717.00,36696.99,790.45703
1626,37.89,36742.00,36743.00,791.86719
1625,37.84,36766.00,36756.87,792.57202
1624,37.84,36791.00,36782.08,796.49963
1623,37.88,36816.00,36815.48,793.42798
1622,37.81,36840.00,36841.96,792.77344
1621,37.86,36865.00,36858.98,791.21240
1620,37.85,36889.00,36881.04,797.05359
1619,37.84,36913.00,36910.03,794.68689
1618,37.83,36937.00,36938.39,796.34863
1617,37.85,36961.00,36959.82,795.29102
1616,37.87,36985.00,36986.30,790.50757
1615,37.89,37008.00,37006.46,795.74438
1614,37.86,37032.00,37020.96,796.80176
1613,37.88,37055.00,37049.96,795.14014
1612,37.83,37078.00,37071.39,793.73022
1611,37.82,37101.00,37101.64,797.35571
1610,37.86,37125.00,37134.41,794.23376
1609,37.86,37148.00,37150.17,798.06067
1608,37.83,37170.00,37174.75,793.12585
1607,37.87,37193.00,37193.66,794.73730
1606,37.87,37216.00,37212.57,798.06055
1605,37.88,37238.00,37236.52,793.52869
1604,37.85,37260.00,37270.56,795.84509
1603,37.86,37283.00,37285.06,798.31238
1602,37.84,37305.00,37302.08,799.67188
1601,37.84,37327.00,37332.96,798.36267
1600,37.89,37348.00,37344.94,800.02441
1599,37.86,37370.00,37368.89,796.44922
1598,37.84,37392.00,37390.32,795.89551
1597,37.85,37413.00,37409.86,795.79468
1596,37.88,37435.00,37436.96,793.88123
1595,37.84,37456.00,37453.98,797.15430
1594,37.86,37477.00,37479.82,794.63660
1593,37.87,37498.00,37499.99,798.91663
1592,37.83,37519.00,37522.05,799.36975
1591,37.87,37540.00,37542.85,798.46350
1590,37.88,37561.00,37569.32,796.80176
1589,37.88,37582.00,37583.82,796.80176
1588,37.83,37602.00,37600.21,801.23291
1587,37.82,37623.00,37625.42,798.21167
1586,37.87,37643.00,37626.05,802.03857
1585,37.85,37663.00,37664.50,798.26196
1584,37.80,37683.00,37685.93,799.16846
1583,37.83,37703.00,37705.46,795.74426
1582,37.86,37723.00,37726.27,801.13220
1581,37.87,37743.00,37743.92,797.30518
1580,37.87,37763.00,37760.30,796.70117
1579,37.84,37782.00,37782.37,796.39893
1578,37.88,37802.00,37798.75,796.65063
1577,37.89,37822.00,37800.02,796.49951
1576,37.82,37840.00,37840.35,794.83801
1575,37.86,37859.00,37861.15,801.28333
1574,37.84,37879.00,37876.91,797.70801
1573,37.82,37897.00,37893.30,798.41309
1572,37.90,37917.00,37905.27,796.44934
1571,37.88,37935.00,37937.42,800.17554
1570,37.82,37954.00,37953.81,798.31226
1569,37.82,37972.00,37966.41,797.20459
1568,37.84,37991.00,37991.00,797.30542
1567,37.81,38009.00,38007.38,799.62158
1566,37.82,38027.00,38023.14,797.40601
1565,37.84,38045.00,38058.44,801.38391
1564,37.86,38063.00,38062.85,797.80884
1563,37.89,38082.00,38079.87,801.33362
1562,37.84,38099.00,38096.25,798.16138
1561,37.87,38117.00,38109.49,797.90955
1560,37.84,38134.00,38136.59,800.98108
1559,37.84,38152.00,38151.09,801.08179
1558,37.84,38169.00,38166.22,797.45630
1557,37.80,38186.00,38181.34,801.58545
1556,37.83,38204.00,38195.84,798.96692
1555,37.90,38222.00,38219.80,799.72217
1554,37.82,38238.00,38233.03,799.67188
1553,37.82,38255.00,38253.83,801.38403
1552,37.83,38272.00,38268.32,798.96692
1551,37.89,38289.00,38287.87,799.47046
1550,37.85,38300.00,38299.21,796.14722
